City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Varkaus,FI,2020-08-25 06:31:37,62.32,27.87,53.6,93,75,4.7
70,Hobyo,SO,2020-08-25 06:31:37,5.35,48.53,82.96,61,100,20.92
71,Bethel,US,2020-08-25 06:31:37,41.37,-73.41,73.4,78,1,4.7
72,Havre-Saint-Pierre,CA,2020-08-25 06:31:38,50.23,-63.6,51.8,93,90,5.82
73,Bilma,NE,2020-08-25 06:31:38,18.69,12.92,91.87,38,30,7.63
74,Pisco,PE,2020-08-25 06:31:16,-13.7,-76.22,59.0,87,37,4.7
75,Thompson,CA,2020-08-25 06:31:38,55.74,-97.86,48.2,81,90,3.36
76,Port Macquarie,AU,2020-08-25 06:31:38,-31.43,152.92,61.0,59,1,10.83
77,Livadiya,RU,2020-08-25 06:31:38,42.87,132.68,71.91,93,100,6.17
78,Ponta Delgada,PT,2020-08-25 06:31:38,37.73,-25.67,73.4,88,40,9.17
79,Palmares Do Sul,BR,2020-08-25 06:31:38,-30.26,-50.51,59.5,73,89,14.81
80,General Bravo,MX,2020-08-25 06:31:39,25.8,-99.17,81.32,71,0,8.41
81,Narsaq,GL,2020-08-25 06:31:39,60.92,-46.05,41.0,86,23,3.36
82,San Quintin,MX,2020-08-25 06:31:39,30.48,-115.95,72.32,86,4,12.88
83,Hambantota,LK,2020-08-25 06:31:39,6.12,81.12,93.2,52,20,9.17
84,Ostersund,SE,2020-08-25 06:29:48,63.18,14.64,46.4,70,94,8.05
85,Tsurugi,JP,2020-08-25 06:31:39,36.45,136.63,95.0,62,40,5.82
86,Chicama,PE,2020-08-25 06:31:39,-7.84,-79.15,57.83,87,88,3.09
87,Wairoa,NZ,2020-08-25 06:30:07,-39.03,177.37,50.99,88,100,9.48
88,Ribeira Grande,PT,2020-08-25 06:31:40,38.52,-28.7,73.4,100,75,10.29
89,Butaritari,KI,2020-08-25 06:31:40,3.07,172.79,82.36,68,100,7.99
90,Muriwai Beach,NZ,2020-08-25 06:31:40,-36.82,174.45,54.0,88,54,18.03
91,Carnarvon,AU,2020-08-25 06:31:40,-24.87,113.63,71.6,60,0,17.22
92,Port Augusta,AU,2020-08-25 06:31:40,-32.5,137.77,66.0,51,4,10.29
93,Rockhampton,AU,2020-08-25 06:30:47,-23.38,150.5,77.0,27,5,11.41
94,Tasiilaq,GL,2020-08-25 06:31:40,65.61,-37.64,37.4,74,60,2.24
95,Batticaloa,LK,2020-08-25 06:29:02,7.71,81.69,86.5,61,99,8.3
96,Beringovskiy,RU,2020-08-25 06:31:40,63.05,179.32,50.9,81,22,2.77
97,Ardakan,IR,2020-08-25 06:31:41,32.31,54.02,80.6,32,0,16.11
98,Tura,IN,2020-08-25 06:31:41,25.52,90.22,84.94,82,100,4.21
99,Lompoc,US,2020-08-25 06:29:55,34.64,-120.46,64.4,88,1,4.27
