City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Mataura,NZ,-46.19,168.86,45.0,72,23,11.01,few clouds
84,Oktyabrskoye,RU,43.06,44.74,71.6,64,96,13.42,overcast clouds
85,Cam Ranh,VN,11.92,109.16,84.2,83,20,8.05,few clouds
86,Aykhal,RU,66.0,111.5,48.2,42,51,6.71,broken clouds
87,Arlit,NE,18.74,7.39,85.26,50,71,14.65,broken clouds
88,Khanpur,PK,28.65,70.66,91.65,49,0,5.32,clear sky
89,Leningradskiy,RU,69.38,178.42,37.81,94,100,5.79,overcast clouds
90,Hilo,US,19.73,-155.09,84.2,51,1,8.05,clear sky
91,Zhigansk,RU,66.77,123.37,50.16,66,100,7.76,overcast clouds
92,Thompson,CA,55.74,-97.86,60.8,77,75,3.36,broken clouds
93,Wakkanai,JP,45.41,141.67,61.97,95,100,24.74,overcast clouds
94,Hithadhoo,MV,-0.6,73.08,81.75,65,100,11.88,overcast clouds
95,Busselton,AU,-33.65,115.33,46.99,71,21,13.44,few clouds
96,Minsk Mazowiecki,PL,52.18,21.57,61.0,80,34,10.85,scattered clouds
97,Tual,ID,-5.67,132.75,79.18,82,11,23.55,few clouds
98,Pangody,RU,65.85,74.49,55.99,82,81,3.96,broken clouds
99,Sistranda,NO,63.73,8.83,51.8,81,40,5.82,scattered clouds
100,Porto Walter,BR,-8.27,-72.74,97.56,21,1,2.98,clear sky
101,Castro,BR,-24.79,-50.01,64.74,69,0,2.89,clear sky
102,Yangjiang,CN,21.85,111.97,78.69,81,54,3.78,broken clouds
103,Saint-Philippe,RE,-21.36,55.77,69.8,73,75,5.82,broken clouds
104,Saint-Georges,GD,12.06,-61.75,89.6,59,40,13.87,scattered clouds
105,Buala,SB,-8.14,159.59,82.35,76,56,4.61,broken clouds
106,Shimoda,JP,34.67,138.95,73.99,94,0,2.13,clear sky
107,Huejuquilla El Alto,MX,22.6,-103.87,79.12,53,65,7.67,broken clouds
108,Qiongshan,CN,20.01,110.35,77.0,94,24,2.24,mist
109,Mar Del Plata,AR,-38.0,-57.56,57.2,67,94,6.93,overcast clouds
110,Sao Filipe,CV,14.9,-24.5,79.5,84,89,4.85,moderate rain
111,Kirakira,SB,-10.45,161.92,80.87,81,100,8.19,overcast clouds
112,Acari,PE,-15.43,-74.62,69.35,57,69,8.28,broken clouds
113,Codrington,AU,-38.27,141.97,42.66,83,0,11.92,clear sky
114,Necochea,AR,-38.55,-58.74,62.01,63,67,5.01,broken clouds
115,Galle,LK,6.04,80.22,81.14,79,94,13.27,light rain
116,Silver City,US,32.77,-108.28,93.2,16,1,6.93,clear sky
117,Waipawa,NZ,-41.41,175.52,55.4,71,85,14.99,overcast clouds
118,Nusaybin,TR,37.08,41.22,82.92,18,0,10.25,clear sky
119,Yuli,NG,9.7,10.27,74.01,87,100,3.09,moderate rain
120,Maniitsoq,GL,65.42,-52.9,52.63,54,100,6.87,overcast clouds
121,Port Lincoln,AU,-34.73,135.87,58.15,44,0,16.6,clear sky
122,East London,ZA,-33.02,27.91,61.68,65,75,3.89,broken clouds
123,Severo-Kurilsk,RU,50.68,156.12,51.44,78,49,8.43,scattered clouds
124,Yulara,AU,-25.24,130.99,53.6,25,0,5.82,clear sky
125,Kicevo,MK,41.51,20.96,66.88,60,0,0.96,clear sky
126,Tiksi,RU,71.69,128.87,43.0,83,38,9.24,scattered clouds
127,Khovu-Aksy,RU,51.13,93.6,47.75,90,100,3.22,overcast clouds
128,Isangel,VU,-19.55,169.27,75.2,88,75,3.36,broken clouds
129,Clarence Town,AU,-32.58,151.78,43.0,93,0,6.93,clear sky
130,Saskylakh,RU,71.92,114.08,49.46,71,0,2.95,clear sky
131,San Patricio,MX,19.22,-104.7,87.8,66,75,9.17,broken clouds
132,Avarua,CK,-21.21,-159.78,75.2,73,44,10.29,scattered clouds
133,Longyearbyen,SJ,78.22,15.64,32.0,92,90,10.29,light snow
134,Shaowu,CN,27.34,117.48,71.83,88,3,1.54,clear sky
135,Esna,EG,25.29,32.55,87.8,31,0,5.82,clear sky
136,New Norfolk,AU,-42.78,147.06,53.01,64,100,3.0,overcast clouds
137,Nanortalik,GL,60.14,-45.24,48.92,76,100,23.78,light rain
138,Ocher,RU,57.89,54.72,59.83,91,100,6.04,overcast clouds
139,Faanui,PF,-16.48,-151.75,76.15,80,1,20.36,clear sky
140,Aripuana,BR,-9.17,-60.63,93.92,34,55,2.42,broken clouds
141,Tuatapere,NZ,-46.13,167.68,45.0,72,18,11.01,few clouds
142,Mgandu,TZ,-5.95,34.13,62.56,59,9,9.1,clear sky
143,Atlantic Beach,US,30.33,-81.4,89.6,74,75,10.29,broken clouds
144,Samana,DO,19.21,-69.34,89.6,79,20,9.17,few clouds
145,Aitape,PG,-3.14,142.35,78.94,81,100,7.81,overcast clouds
146,Butterworth,MY,5.4,100.36,80.6,88,20,1.12,few clouds
147,Caravelas,BR,-17.71,-39.25,71.15,78,0,4.29,clear sky
148,Havre-Saint-Pierre,CA,50.23,-63.6,55.4,71,90,17.22,overcast clouds
149,Xiongyue,CN,40.18,122.12,67.48,91,15,9.06,few clouds
150,Okhotsk,RU,59.38,143.3,50.86,76,71,8.99,light rain
151,Kununurra,AU,-15.77,128.73,60.8,25,19,11.7,few clouds
152,Roald,NO,62.58,6.13,55.0,81,75,14.99,broken clouds
153,Matay,EG,28.42,30.78,82.31,49,0,19.33,clear sky
154,Ilulissat,GL,69.22,-51.1,44.6,48,81,11.41,broken clouds
155,Huarmey,PE,-10.07,-78.15,67.32,69,8,11.92,clear sky
156,Japura,ID,-0.32,102.35,73.85,88,100,2.53,overcast clouds
157,Pevek,RU,69.7,170.31,40.57,86,51,2.8,broken clouds
